seqnames	start	end	width	strand	tx_id	gene_id
chr1	4807788	4848410	40623	+	14	18777
chr1	4807823	4846739	38917	+	15	18777
chr1	4807830	4841286	33457	+	16	18777
chr1	4807892	4886770	78879	+	17	18777
chr1	4807896	4845174	37279	+	18	18777
chr1	4807898	4840969	33072	+	19	18777
chr1	4807911	4845352	37442	+	20	18777
chr1	4808237	4841093	32857	+	21	18777
chr1	4857814	4897905	40092	+	23	21399
chr1	4858038	4897909	39872	+	24	21399
chr1	5070018	5162340	92323	+	27	108664
chr1	5083080	5162529	79450	+	28	108664
chr1	5083110	5095728	12619	+	29	108664
chr1	5083132	5095659	12528	+	32	108664
chr1	5083154	5162419	79266	+	33	108664
chr1	5588493	5606131	17639	+	38	18387
chr1	5588493	5606131	17639	+	39	18387
chr1	5588557	5602866	14310	+	40	18387
chr1	5588941	5604014	15074	+	41	18387
chr1	6206197	6234311	28115	+	43	12421
chr1	6206227	6238384	32158	+	44	12421
chr1	6214645	6276648	62004	+	45	12421
chr1	6215008	6234010	19003	+	47	12421
chr1	6228002	6249029	21028	+	48	12421
chr1	6234279	6275577	41299	+	49	12421
chr1	6249088	6274490	25403	+	51	12421
chr1	6262933	6274489	11557	+	56	12421
chr1	6359218	6394731	35514	+	59	620393
chr1	6487231	6860934	373704	+	61	240690
chr1	6487331	6860940	373610	+	62	240690
chr1	6730051	6860940	130890	+	63	240690
chr1	6730053	6795425	65373	+	64	240690
chr1	6730070	6795550	65481	+	65	240690
chr1	6730101	6859470	129370	+	66	240690
chr1	6730102	6858813	128712	+	67	240690
chr1	6734870	6802688	67819	+	68	240690
chr1	6737575	6860940	123366	+	69	240690
chr1	6802791	6809365	6575	+	70	240690
chr1	6857341	6859604	2264	+	73	240690
chr1	7088920	7173628	84709	+	80	319263
chr1	7088930	7169598	80669	+	81	319263
chr1	7147637	7170076	22440	+	84	319263
chr1	9545408	9547455	2048	+	103	59014
chr1	9547948	9577970	30023	+	104	76187
chr1	9548055	9576901	28847	+	105	76187
chr1	9548092	9553687	5596	+	106	76187
chr1	9548107	9555568	7462	+	107	76187
chr1	9548119	9580673	32555	+	108	76187
chr1	9601199	9627143	25945	+	110	76982
chr1	9798107	9900843	102737	+	118	170755
chr1	9798143	9900770	102628	+	119	170755
chr1	9798143	9900845	102703	+	120	170755
chr1	9798185	9899618	101434	+	122	170755
chr1	9798208	9900008	101801	+	123	170755
chr1	9848272	9900843	52572	+	124	170755
chr1	9848397	9899853	51457	+	127	170755
chr1	9908638	9922525	13888	+	130	240697
chr1	9908638	9940954	32317	+	131	240697
chr1	9908668	9940452	31785	+	132	240697
chr1	9908670	9942085	33416	+	133	240697
chr1	9911314	9921266	9953	+	134	240697
chr1	9932120	9940954	8835	+	135	240697
chr1	10038006	10047534	9529	+	139	211660
chr1	10038217	10136768	98552	+	140	211660
chr1	10038262	10067118	28857	+	143	211660
chr1	10039773	10067976	28204	+	145	211660
chr1	10039773	10068333	28561	+	146	211660
chr1	10039785	10067102	27318	+	148	211660
chr1	10040155	10058823	18669	+	150	211660
chr1	10046493	10136145	89653	+	151	211660
chr1	10056924	10066575	9652	+	152	211660
chr1	10074913	10090255	15343	+	156	211660
chr1	10112876	10134173	21298	+	160	211660
chr1	10993465	11303681	310217	+	170	109294
chr1	11258067	11297898	39832	+	174	109294
chr1	11258106	11298005	39900	+	175	109294
chr1	11263963	11299594	35632	+	176	109294
chr1	11283993	11298204	14212	+	177	109294
chr1	11414105	11601811	187707	+	178	320492
chr1	11414105	11975901	561797	+	179	320492
chr1	11414112	11933740	519629	+	182	320492
chr1	11414269	11601621	187353	+	183	320492
chr1	11414509	11975397	560889	+	184	320492
chr1	11414509	11975397	560889	+	185	320492
chr1	11518671	11599993	81323	+	187	320492
chr1	12692277	12861192	168916	+	196	240725
chr1	12692323	12860371	168049	+	197	240725
chr1	12692532	12852489	159958	+	198	240725
chr1	12718529	12860377	141849	+	200	240725
chr1	12719464	12786549	67086	+	201	240725
chr1	12728119	12786639	58521	+	202	240725
chr1	12842791	12861192	18402	+	205	240725
chr1	13668771	13701723	32953	+	210	381246
chr1	15287254	15712548	425295	+	217	98741
chr1	15312452	15723750	411299	+	218	98741
chr1	15805646	15844052	38407	+	223	21749
chr1	15805664	15843470	37807	+	225	21749
chr1	16105774	16133734	27961	+	230	98711
chr1	16665207	16678195	12989	+	238	70397
chr1	16665210	16678275	13066	+	240	70397
chr1	16688433	16709611	21179	+	243	17087
chr1	16688508	16709537	21030	+	244	17087
chr1	17145362	17164271	18910	+	248	14545
chr1	17145468	17161631	16164	+	250	14545
chr1	17601901	17630939	29039	+	255	94227
chr1	17727045	17765575	38531	+	256	83691
chr1	17727059	17745893	18835	+	257	83691
chr1	17727088	17766344	39257	+	258	83691
chr1	19103022	19166346	63325	+	264	226896
chr1	19208914	19238576	29663	+	266	21419
chr1	19208960	19238083	29124	+	267	21419
chr1	19212054	19234624	22571	+	268	21419
chr1	20730905	20734496	3592	+	279	16171
chr1	20890606	20939650	49045	+	282	74229
chr1	20917840	20939055	21216	+	283	74229
chr1	20917874	20935749	17876	+	284	74229
chr1	20922259	20935756	13498	+	285	74229
chr1	20951688	20990841	39154	+	288	71877
chr1	21218575	21230167	11593	+	291	75712
chr1	21218662	21230164	11503	+	292	75712
chr1	21240589	21265661	25073	+	294	14859
chr1	21240607	21265021	24415	+	295	14859
chr1	21240629	21264846	24218	+	296	14859
chr1	21349641	21352200	2560	+	299	368204
chr1	21368331	21370845	2515	+	302	433278
chr1	21383556	21386373	2818	+	305	98582
chr1	23761753	23815740	53988	+	316	280645
chr1	23761926	23849158	87233	+	317	280645
chr1	23762011	23815739	53729	+	318	280645
chr1	24177610	24252684	75075	+	323	12839
chr1	24195187	24252684	57498	+	324	12839
chr1	24678630	24765448	86819	+	327	68421
chr1	24678660	24707051	28392	+	328	68421
chr1	24678739	24731894	53156	+	329	68421
chr1	24678926	24766301	87376	+	330	68421
chr1	24744873	24762393	17521	+	332	68421
chr1	31176401	31204725	28325	+	353	266744
chr1	31189470	31204725	15256	+	354	266744
chr1	31222838	31224288	1451	+	355	74708
chr1	32172714	32658568	485855	+	362	170771
chr1	32172729	32246878	74150	+	363	170771
chr1	32172748	32338354	165607	+	364	170771
chr1	32172887	32311090	138204	+	365	170771
chr1	33719895	33742564	22670	+	386	19335
chr1	33719909	33742557	22649	+	387	19335
chr1	33720407	33742561	22155	+	390	19335
chr1	33908225	34307592	399368	+	395	13518
chr1	34005880	34174795	168916	+	397	13518
chr1	34005882	34137135	131254	+	398	13518
chr1	34006126	34137136	131011	+	399	13518
chr1	34011813	34308652	296840	+	401	13518
chr1	34011825	34308650	296826	+	402	13518
chr1	34011825	34308661	296837	+	403	13518
chr1	34077227	34135157	57931	+	405	13518
chr1	34121250	34154521	33272	+	408	13518
chr1	34160330	34183904	23575	+	409	13518
chr1	34160330	34193263	32934	+	410	13518
chr1	34160330	34308404	148075	+	411	13518
chr1	34236596	34274283	37688	+	414	13518
chr1	34257836	34308404	50569	+	415	13518
chr1	34293455	34303463	10009	+	417	13518
chr1	34294446	34306651	12206	+	418	13518
chr1	34439851	34449356	9506	+	421	27993
chr1	34439905	34443856	3952	+	423	27993
chr1	34439905	34444387	4483	+	424	27993
chr1	34440041	34444514	4474	+	427	27993
chr1	34459765	34473784	14020	+	430	19253
chr1	34459777	34471917	12141	+	431	19253
chr1	34472720	34475733	3014	+	434	19253
chr1	34498410	34503063	4654	+	436	21755
chr1	34498421	34500132	1712	+	437	21755
chr1	34535648	34544313	8666	+	438	12627
chr1	34579657	34590944	11288	+	439	211383
chr1	34678188	34812739	134552	+	440	226970
chr1	34732115	34811829	79715	+	441	226970
chr1	34750581	34807144	56564	+	442	226970
chr1	34801704	34813309	11606	+	445	226970
chr1	34801741	34808911	7171	+	448	226970
chr1	34801794	34801964	171	+	449	NA
chr1	34849976	34873956	23981	+	451	226971
chr1	34849992	34879580	29589	+	452	226971
chr1	34851837	34863475	11639	+	453	226971
chr1	36068400	36106446	38047	+	463	50785
chr1	36307733	36319203	11471	+	466	214855
chr1	36307754	36317442	9689	+	467	214855
chr1	36307754	36320526	12773	+	471	214855
chr1	36307754	36320528	12775	+	472	214855
chr1	36307754	36321071	13318	+	473	214855
chr1	36307754	36322991	15238	+	474	214855
chr1	36307754	36324029	16276	+	475	214855
chr1	36307769	36322988	15220	+	477	214855
chr1	36372291	36422107	49817	+	482	100534273
chr1	36385464	36404829	19366	+	483	100534273
chr1	36416888	36422110	5223	+	484	100534273
chr1	36471620	36508764	37145	+	485	94220
chr1	36511867	36528237	16371	+	489	94218
chr1	36511867	36528237	16371	+	490	94218
chr1	36691449	36693386	1938	+	498	12859
chr1	36691484	36693681	2198	+	499	12859
chr1	36691610	36693386	1777	+	500	12859
chr1	36710149	36733881	23733	+	504	71166
chr1	36714538	36757953	43416	+	505	71166
chr1	36761798	36782818	21021	+	508	22637
chr1	36766934	36771067	4134	+	509	22637
chr1	37026596	37076996	50401	+	513	70853
chr1	37029304	37063649	34346	+	514	70853
chr1	37029316	37076995	47680	+	515	70853
chr1	37029333	37187605	158273	+	516	70853
chr1	37029333	37187607	158275	+	517	70853
chr1	37029384	37076725	47342	+	518	70853
chr1	37035708	37186609	150902	+	519	70853
chr1	37135508	37141336	5829	+	522	70853
chr1	37153849	37187605	33757	+	523	70853
chr1	37214434	37241940	27507	+	525	12790
chr1	37218379	37262184	43806	+	526	12790
chr1	37218379	37262184	43806	+	527	12790
chr1	37219205	37263384	44180	+	528	12790
