seqnames	start	end	width	strand	peak_name
chr1	43793648	43793968	321	*	peak_1
chr1	87574720	87574920	201	*	peak_2
chr1	171591359	171591481	123	*	peak_3
chr1	171277504	171277908	405	*	peak_4
chr1	46836810	46837073	264	*	peak_5
chr1	74436776	74436889	114	*	peak_6
chr1	155129314	155129502	189	*	peak_7
chr1	87406314	87406597	284	*	peak_8
chr1	37756187	37756654	468	*	peak_9
chr1	64044151	64044313	163	*	peak_10
chr1	37639178	37639678	501	*	peak_11
chr1	86157305	86157516	212	*	peak_12
chr1	58975462	58975646	185	*	peak_13
chr1	193175655	193175803	149	*	peak_14
chr1	190125408	190125610	203	*	peak_15
chr1	16688783	16688899	117	*	peak_16
chr1	91385902	91386159	258	*	peak_17
chr1	11416382	11416726	345	*	peak_18
chr1	150321509	150321944	436	*	peak_19
chr1	136187825	136188241	417	*	peak_20
chr1	160978987	160979240	254	*	peak_21
chr1	19210140	19210479	340	*	peak_22
chr1	181905501	181905736	236	*	peak_23
chr1	37215582	37216042	461	*	peak_24
chr1	179396958	179397392	435	*	peak_25
chr1	156298088	156298310	223	*	peak_26
chr1	58394568	58394699	132	*	peak_27
chr1	107513982	107514161	180	*	peak_28
chr1	75180902	75181270	369	*	peak_29
chr1	60412134	60412334	201	*	peak_30
chr1	153221677	153221813	137	*	peak_31
chr1	157100342	157100778	437	*	peak_32
chr1	119417238	119417698	461	*	peak_33
chr1	151345831	151346147	317	*	peak_34
chr1	144248667	144249026	360	*	peak_35
chr1	91253575	91253795	221	*	peak_36
chr1	21389006	21389374	369	*	peak_37
chr1	64609825	64610261	437	*	peak_38
chr1	9798878	9799357	480	*	peak_39
chr1	120114454	120114883	430	*	peak_40
chr1	30943926	30944387	462	*	peak_41
chr1	93376601	93376925	325	*	peak_42
chr1	65014827	65015129	303	*	peak_43
chr1	71590798	71591050	253	*	peak_44
chr1	3216967	3217143	177	*	peak_45
chr1	157101734	157101912	179	*	peak_46
chr1	85244054	85244530	477	*	peak_47
chr1	130910114	130910275	162	*	peak_48
chr1	165765055	165765537	483	*	peak_49
chr1	80502795	80503241	447	*	peak_50
chr1	151576011	151576174	164	*	peak_51
chr1	74155446	74155597	152	*	peak_52
chr1	191980142	191980521	380	*	peak_53
chr1	36551179	36551521	343	*	peak_54
chr1	19209319	19209766	448	*	peak_55
chr1	129274870	129275332	463	*	peak_56
chr1	36541626	36542051	426	*	peak_57
chr1	97779332	97779759	428	*	peak_58
chr1	127310776	127311000	225	*	peak_59
chr1	131179304	131179680	377	*	peak_60
chr1	140514597	140514963	367	*	peak_61
chr1	71591895	71592287	393	*	peak_62
chr1	175904459	175904834	376	*	peak_63
chr1	38871817	38872174	358	*	peak_64
chr1	171213989	171214272	284	*	peak_65
chr1	66256104	66256325	222	*	peak_66
chr1	138854829	138855111	283	*	peak_67
chr1	34555753	34555867	115	*	peak_68
chr1	150453192	150453381	190	*	peak_69
chr1	156036613	156036771	159	*	peak_70
chr1	164291406	164291635	230	*	peak_71
chr1	86588238	86588474	237	*	peak_72
chr1	132990761	132990924	164	*	peak_73
chr1	135383932	135384308	377	*	peak_74
chr1	74746642	74746961	320	*	peak_75
chr1	156330801	156330924	124	*	peak_76
chr1	175618252	175618472	221	*	peak_77
chr1	39541842	39542266	425	*	peak_78
chr1	28776762	28776918	157	*	peak_79
chr1	134348474	134348807	334	*	peak_80
chr1	172127206	172127388	183	*	peak_81
chr1	155558546	155558963	418	*	peak_82
chr1	87597980	87598082	103	*	peak_83
chr1	43123508	43123694	187	*	peak_84
chr1	130909110	130909459	350	*	peak_85
chr1	64534553	64534954	402	*	peak_86
chr1	36815516	36815728	213	*	peak_87
chr1	74543894	74544109	216	*	peak_88
chr1	14873126	14873455	330	*	peak_89
chr1	165354044	165354200	157	*	peak_90
chr1	143777404	143777759	356	*	peak_91
chr1	36549279	36549407	129	*	peak_92
chr1	39372106	39372427	322	*	peak_93
chr1	92953368	92953633	266	*	peak_94
chr1	73915331	73915483	153	*	peak_95
chr1	44087698	44087972	275	*	peak_96
chr1	143601636	143601904	269	*	peak_97
chr1	120228618	120228756	139	*	peak_98
chr1	87266795	87267229	435	*	peak_99
chr1	86431631	86431988	358	*	peak_100
chr1	184788325	184788438	114	*	peak_101
chr1	107523416	107523643	228	*	peak_102
chr1	128244326	128244688	363	*	peak_103
chr1	120603674	120604045	372	*	peak_104
chr1	32545750	32545892	143	*	peak_105
chr1	4808328	4808635	308	*	peak_106
chr1	156655857	156656286	430	*	peak_107
chr1	127774584	127774787	204	*	peak_108
chr1	73914980	73915105	126	*	peak_109
chr1	16643272	16643599	328	*	peak_110
chr1	189210242	189210732	491	*	peak_111
chr1	171215593	171216086	494	*	peak_112
chr1	17148136	17148276	141	*	peak_113
chr1	173130172	173130646	475	*	peak_114
chr1	130634828	130635075	248	*	peak_115
chr1	93786874	93787196	323	*	peak_116
chr1	170301309	170301414	106	*	peak_117
chr1	167001839	167002259	421	*	peak_118
chr1	93344536	93344823	288	*	peak_119
chr1	118389123	118389299	177	*	peak_120
chr1	87676717	87677160	444	*	peak_121
chr1	163996843	163997107	265	*	peak_122
chr1	92961309	92961428	120	*	peak_123
chr1	134562068	134562528	461	*	peak_124
chr1	87210371	87210725	355	*	peak_125
chr1	73914111	73914355	245	*	peak_126
chr1	69540346	69540731	386	*	peak_127
chr1	165650299	165650433	135	*	peak_128
chr1	84582305	84582771	467	*	peak_129
chr1	91054019	91054271	253	*	peak_130
chr1	131691300	131691489	190	*	peak_131
chr1	173332521	173332910	390	*	peak_132
chr1	14876435	14876602	168	*	peak_133
chr1	52009914	52010257	344	*	peak_134
chr1	75276324	75276681	358	*	peak_135
chr1	105277831	105278042	212	*	peak_136
chr1	171330189	171330684	496	*	peak_137
chr1	14877518	14877762	245	*	peak_138
chr1	136228493	136228884	392	*	peak_139
chr1	75238022	75238494	473	*	peak_140
chr1	33909060	33909409	350	*	peak_141
chr1	87759500	87759676	177	*	peak_142
chr1	134457122	134457361	240	*	peak_143
chr1	51797674	51797959	286	*	peak_144
chr1	91371978	91372358	381	*	peak_145
chr1	144753681	144754050	370	*	peak_146
chr1	162674884	162675333	450	*	peak_147
chr1	91180731	91180874	144	*	peak_148
chr1	88072065	88072416	352	*	peak_149
chr1	146498555	146499009	455	*	peak_150
chr1	52120567	52121017	451	*	peak_151
chr1	171634718	171635034	317	*	peak_152
chr1	180897204	180897508	305	*	peak_153
chr1	46837926	46838066	141	*	peak_154
chr1	59696331	59696714	384	*	peak_155
chr1	183412014	183412394	381	*	peak_156
chr1	86587686	86588162	477	*	peak_157
chr1	119655100	119655305	206	*	peak_158
chr1	118391691	118391793	103	*	peak_159
chr1	34553309	34553551	243	*	peak_160
chr1	90962119	90962533	415	*	peak_161
chr1	23996590	23996813	224	*	peak_162
chr1	136271642	136272085	444	*	peak_163
chr1	75451156	75451291	136	*	peak_164
chr1	172010867	172011119	253	*	peak_165
chr1	36309330	36309636	307	*	peak_166
chr1	120495108	120495410	303	*	peak_167
chr1	36372462	36372640	179	*	peak_168
chr1	159774572	159774764	193	*	peak_169
chr1	93482897	93483166	270	*	peak_170
chr1	191050086	191050314	229	*	peak_171
chr1	173920515	173920764	250	*	peak_172
chr1	156839773	156840190	418	*	peak_173
chr1	170322014	170322337	324	*	peak_174
chr1	66722776	66723044	269	*	peak_175
chr1	86246659	86246861	203	*	peak_176
chr1	65051366	65051606	241	*	peak_177
chr1	187056016	187056247	232	*	peak_178
chr1	181906100	181906591	492	*	peak_179
chr1	12692615	12692920	306	*	peak_180
chr1	39380146	39380588	443	*	peak_181
chr1	162539169	162539451	283	*	peak_182
chr1	179530495	179530734	240	*	peak_183
